# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
     240.341     2263.200     8640.047    15168.133
     241.342     2265.900     8640.047    15168.133
     242.343     2244.000     8640.047    15168.133
     243.345     2037.400     8640.047    15168.133
     244.346     2061.300     8640.047    15168.133
     245.348     1860.700     8640.047    15168.133
     246.350     2056.900     8640.047    15168.133
     247.351     2147.800     8640.047    15168.133
     248.353     2122.900     8640.047    15168.133
     249.354     1964.600     8640.047    15168.133
     250.356     2169.800     8640.051    15168.133
     251.357     2353.200     8640.051    15168.133
     252.358     1581.300     8640.168    15168.133
     253.360     1301.800     8640.168    15168.133
     254.361     1317.100     8651.320    15169.141
     255.362      630.100     8651.551    15169.141
     256.363     1285.000     8656.184    15169.141
     257.365     1304.500     8656.660    15169.141
     258.366     1096.400     8661.363    15169.141
     259.368     1146.400     8661.363    15169.141
     260.369     1300.300     8661.363    15169.141
     261.371     1325.100     8661.379    15169.141
     262.373     1105.300     8666.336    15169.141
     263.374     1296.200     8666.344    15169.141
     264.375     1295.900     8666.344    15169.141
     265.377     1551.400     8673.535    15173.172
     266.378     1076.500     8705.445    15365.172
     267.379     1286.200     8706.656    15365.172
     268.381     1291.000     8707.047    15365.172
     269.383     1289.600     8707.879    15365.172
     270.385     1026.300     8715.062    15365.172
     271.386      541.200     8710.984    15365.172
     272.388     1246.100     8723.723    15365.172
     273.389     1204.300     8723.852    15365.172
     274.390     1358.100     8726.637    15365.172
     275.392      642.100     8739.465    15365.172
     276.393     1097.500     8739.406    15365.172
     277.394      804.900     8739.867    15365.172
     278.396      189.700     8739.805    15365.172
     279.397       99.800     8739.805    15365.172
     280.399      213.700     8782.258    15365.172
     281.400      123.800     8754.664    15365.172
     282.402       99.800     8754.664    15365.172
     283.404      204.700     8755.242    15365.172
     284.405      100.800     8755.242    15365.172
     285.407      156.800     8755.508    15365.172
     286.408       99.800     8755.508    15365.172
     287.410      100.800     8755.508    15365.172
     288.412       99.800     8755.508    15365.172
     289.413      100.800     8755.508    15365.172
     290.415      164.700     8755.988    15365.172
     291.417      100.800     8755.988    15365.172
     292.418      100.800     8755.988    15365.172
     293.420       99.800     8755.988    15365.172
     294.421       79.900     8755.988    15365.172
     295.422       85.900     8756.195    15365.172
     296.424      100.800     8756.195    15365.172
     297.425      100.800     8756.195    15365.172
     298.427       98.800     8756.195    15365.172
     299.429      123.800     8756.195    15365.172
     300.430       99.800     8756.195    15365.172
     301.432       99.800     8756.195    15365.172
     302.434       99.800     8756.195    15365.172
     303.435      113.800     8756.195    15365.172
     304.437       92.900     8756.195    15365.172
